Semana,abrantes,agueda,aguiar da beira,alandroal,albergaria-a-velha,albufeira,alcacer do sal,alcanena,alcobaca,alcochete,alcoutim,alenquer,alfandega da fe,alijo,aljezur,aljustrel,almada,almeida,almeirim,almodovar,alpiarca,alter do chao,alvaiazere,alvito,amadora,amarante,amares,anadia,angra do heroismo,ansiao,arcos de valdevez,arganil,armamar,arouca,arraiolos,arronches,arruda dos vinhos,aveiro,avis,azambuja,baiao,barcelos,barrancos,barreiro,batalha,beja,belmonte,benavente,bombarral,borba,boticas,braga,braganca,cabeceiras de basto,cadaval,caldas da rainha,calheta (r.a.a.),calheta (r.a.m.),camara de lobos,caminha,campo maior,cantanhede,carrazeda de ansiaes,carregal do sal,cartaxo,cascais,castanheira de pera,castelo branco,castelo de paiva,castelo de vide,castro daire,castro marim,castro verde,celorico da beira,celorico de basto,chamusca,chaves,cinfaes,coimbra,condeixa-a-nova,constancia,coruche,corvo,covilha,crato,cuba,desconhecido,elvas,entroncamento,espinho,esposende,estarreja,estrangeiro,estremoz,evora,fafe,faro,felgueiras,ferreira do alentejo,ferreira do zezere,figueira da foz,figueira de castelo rodrigo,figueiro dos vinhos,fornos de algodres,freixo de espada a cinta,fronteira,funchal,fundao,gaviao,gois,golega,gondomar,gouveia,grandola,guarda,guimaraes,horta,idanha-a-nova,ilhavo,lagoa,lagoa (r.a.a),lagos,lajes das flores,lajes do pico,lamego,leiria,lisboa,loule,loures,lourinha,lousa,lousada,macao,macedo de cavaleiros,machico,madalena,mafra,maia,mangualde,manteigas,marco de canaveses,marinha grande,marvao,matosinhos,mealhada,meda,melgaco,mertola,mesao frio,mira,miranda do corvo,miranda do douro,mirandela,mogadouro,moimenta da beira,moita,moncao,monchique,mondim de basto,monforte,montalegre,montemor-o-novo,montemor-o-velho,montijo,mora,mortagua,moura,mourao,murca,murtosa,nazare,nelas,nisa,nordeste,obidos,odemira,odivelas,oeiras,oleiros,olhao,oliveira de azemeis,oliveira de frades,oliveira do bairro,oliveira do hospital,ourem,ourique,ovar,pacos de ferreira,palmela,pampilhosa da serra,paredes,paredes de coura,pedrogao grande,penacova,penafiel,penalva do castelo,penamacor,penedono,penela,peniche,peso da regua,pinhel,pombal,ponta delgada,ponta do sol,ponte da barca,ponte de lima,ponte de sor,portalegre,portel,portimao,porto,porto de mos,porto moniz,porto santo,povoacao,povoa de lanhoso,povoa de varzim,proenca-a-nova,redondo,reguengos de monsaraz,resende,ribeira brava,ribeira de pena,ribeira grande,rio maior,sabrosa,sabugal,salvaterra de magos,santa comba dao,santa cruz,santa cruz da graciosa,santa cruz das flores,santa maria da feira,santa marta de penaguiao,santana,santarem,santiago do cacem,santo tirso,sao bras de alportel,sao joao da madeira,sao joao da pesqueira,sao pedro do sul,sao roque do pico,sao vicente,sardoal,satao,seia,seixal,sernancelhe,serpa,serta,sesimbra,setubal,sever do vouga,silves,sines,sintra,sobral de monte agraco,soure,sousel,tabua,tabuaco,tarouca,tavira,terras de bouro,tomar,tondela,torre de moncorvo,torres novas,torres vedras,trancoso,trofa,vagos,vale de cambra,valenca,valongo,valpacos,velas,vendas novas,viana do alentejo,viana do castelo,vidigueira,vieira do minho,vila da praia da vitoria,vila de rei,vila do bispo,vila do conde,vila do porto,vila flor,vila franca de xira,vila franca do campo,vila nova da barquinha,vila nova de cerveira,vila nova de famalicao,vila nova de foz coa,vila nova de gaia,vila nova de paiva,vila nova de poiares,vila pouca de aguiar,vila real,vila real de santo antonio,vila velha de rodao,vila verde,vila vicosa,vimioso,vinhais,viseu,vizela,vouzela
 01-2014,10,7,2,2,6,10,2,1,9,2,2,11,1,1,2,2,32,3,2,3,1,3,1,0,24,9,2,4,8,5,8,2,1,2,1,1,4,12,0,3,6,9,1,16,1,5,0,2,3,3,1,26,8,4,3,6,0,3,5,4,1,5,2,2,6,36,3,7,3,0,5,2,0,2,2,2,5,5,14,3,1,4,0,15,2,1,4,7,5,4,7,4,6,0,6,8,11,9,2,1,8,0,1,0,3,0,19,7,0,3,1,26,4,5,9,17,3,6,5,4,4,6,0,1,5,20,133,11,41,7,3,1,2,3,4,2,11,19,4,0,7,8,2,23,4,0,4,0,3,1,2,1,0,2,2,8,1,1,4,1,5,7,7,9,1,5,4,1,2,0,1,2,4,1,3,5,15,23,1,7,8,0,2,3,6,3,10,7,11,1,14,3,3,3,11,1,4,1,4,10,3,0,15,11,1,0,10,3,10,1,9,53,2,0,0,0,3,10,0,3,2,4,3,2,1,2,2,6,8,1,6,3,2,20,3,2,15,8,11,2,5,1,5,1,0,0,0,8,33,2,4,2,8,25,1,10,4,40,1,4,1,3,1,1,4,0,8,9,1,8,21,1,2,5,7,3,14,5,0,3,1,10,2,2,3,2,0,11,1,2,20,0,1,1,15,0,42,0,0,7,6,5,2,8,3,2,2,22,2,5
 02-2014,15,13,3,1,9,4,2,5,17,6,1,9,0,4,0,4,39,1,7,2,2,1,2,0,34,10,4,11,12,5,12,1,3,5,2,1,6,14,0,9,4,23,0,17,2,2,1,5,6,4,6,18,9,5,5,23,2,4,7,5,3,9,2,3,9,35,0,15,2,1,8,1,2,4,4,1,19,4,23,5,0,8,0,15,0,1,5,6,3,10,5,3,4,4,19,8,11,8,2,1,16,2,1,1,5,2,40,9,1,1,1,25,6,3,11,27,6,5,7,5,7,13,0,2,7,29,145,17,38,4,5,9,4,4,6,1,4,21,5,2,11,11,0,30,7,3,4,1,2,5,1,1,5,2,2,22,4,2,2,2,2,3,4,9,2,2,10,0,1,1,2,5,6,3,2,10,26,34,2,14,19,6,6,8,18,3,14,17,17,2,9,2,3,8,17,5,5,0,2,8,4,1,16,12,2,5,7,5,8,3,13,59,2,4,1,2,7,11,4,1,2,3,1,1,6,9,3,5,2,5,11,4,1,27,4,1,16,6,13,4,2,0,7,2,4,2,3,5,24,1,3,5,11,20,3,16,4,61,0,10,1,5,5,1,8,0,11,6,2,9,16,0,3,6,3,5,14,6,0,3,0,20,4,4,5,4,1,11,2,1,26,3,2,4,21,2,56,3,1,5,7,8,1,9,2,1,1,15,1,8
 03-2014,10,10,1,1,4,1,1,4,19,2,2,6,7,4,2,4,33,1,5,4,3,2,2,2,32,12,4,7,12,6,11,2,0,3,1,4,3,14,1,5,7,19,3,21,8,8,6,5,2,2,4,27,6,4,7,11,0,9,6,8,1,11,0,1,8,42,0,12,3,1,5,1,1,6,3,0,9,6,27,2,0,6,0,10,1,2,10,10,6,8,3,9,7,2,7,10,16,7,2,4,19,0,1,3,2,1,31,6,1,1,1,19,6,9,14,27,3,4,10,6,0,9,1,0,10,28,144,17,31,11,0,7,5,3,5,4,8,23,6,2,6,14,2,33,5,4,5,1,0,7,4,3,5,2,5,18,5,3,2,0,1,4,7,6,2,3,7,0,2,4,7,5,4,1,3,8,26,13,3,12,16,9,7,8,12,2,8,6,22,3,17,2,1,4,11,3,0,0,1,8,6,1,8,10,3,1,10,7,8,3,14,70,7,1,0,1,2,10,4,1,4,3,4,4,3,4,1,6,7,3,9,3,1,27,2,4,14,3,22,2,4,2,3,0,5,0,7,11,21,2,4,6,8,24,2,12,5,63,8,8,5,5,3,0,9,2,5,8,1,17,19,3,7,9,7,5,9,4,1,1,1,18,2,4,6,1,3,11,0,0,20,2,2,6,24,3,41,4,1,5,6,4,0,11,1,1,8,13,6,4
 04-2014,15,5,3,2,7,6,4,4,14,5,5,6,2,5,3,6,47,4,9,4,1,4,0,2,25,9,6,11,4,4,10,7,0,4,2,1,1,19,1,5,2,14,1,29,6,10,4,3,4,2,0,30,7,3,6,16,1,3,8,4,3,9,3,0,6,38,1,11,5,1,0,2,1,5,5,5,6,5,33,3,3,2,2,10,3,1,4,4,4,7,5,6,3,2,13,10,17,8,4,5,17,5,1,1,0,1,36,10,2,1,3,27,4,2,9,26,2,4,11,4,3,9,0,2,5,25,166,18,35,5,3,7,3,2,2,4,17,26,3,3,9,9,2,35,6,2,4,1,2,2,4,8,8,3,3,17,5,7,1,1,4,5,7,11,0,4,7,1,1,2,2,6,1,1,5,9,18,33,0,14,15,1,9,5,11,0,10,9,11,2,15,3,0,3,16,5,3,2,3,11,3,1,15,10,4,4,11,9,10,0,10,54,4,1,4,1,4,11,5,2,3,2,4,3,8,1,1,3,8,1,5,1,0,22,2,0,24,3,13,3,3,3,9,0,0,0,3,6,17,0,4,1,8,30,3,12,2,69,2,2,1,2,1,3,4,3,7,5,3,6,13,3,8,5,4,5,14,4,1,3,1,17,2,5,3,2,1,7,2,3,23,2,3,2,16,1,70,0,5,0,13,5,0,11,2,0,0,20,6,3
 05-2014,16,12,2,0,3,5,4,0,10,2,2,11,4,3,4,6,58,1,8,2,4,3,1,4,32,12,6,12,17,6,3,4,2,6,2,2,2,9,2,5,2,20,2,18,4,16,0,5,6,0,3,34,9,4,5,13,1,2,6,11,3,7,1,0,12,37,0,14,3,0,4,4,4,3,7,7,9,3,21,3,0,6,1,12,3,2,2,5,4,7,5,8,6,6,13,17,8,6,3,4,8,2,3,1,0,1,32,7,3,3,2,31,3,3,8,25,4,4,12,6,1,8,0,0,6,28,181,9,39,4,3,3,5,8,4,2,18,17,8,0,10,12,2,33,3,2,5,3,3,1,1,4,5,3,5,10,4,2,2,3,4,5,2,14,1,3,2,0,3,4,4,3,3,1,5,5,24,34,4,10,14,2,8,0,13,1,7,6,16,2,15,2,1,5,17,2,3,1,1,9,4,3,17,6,2,6,11,8,6,4,8,64,4,1,0,2,7,7,3,1,4,3,3,4,2,7,4,6,9,4,6,3,0,19,0,2,18,5,14,3,5,2,4,3,0,3,6,13,27,2,12,5,7,25,6,8,3,63,3,7,0,4,1,2,9,5,12,4,3,11,25,1,7,2,3,2,15,6,0,4,1,18,1,5,1,2,2,15,0,1,23,5,0,5,25,0,70,4,2,4,12,5,1,9,2,2,7,12,2,2
 06-2014,17,12,3,2,9,1,4,4,19,5,1,12,1,4,1,2,30,0,9,3,3,2,1,2,27,9,2,7,5,4,8,5,3,9,1,0,3,14,0,5,10,28,0,14,3,6,1,3,2,3,2,23,7,5,2,12,0,4,6,5,4,10,1,6,5,41,0,9,3,0,3,0,1,1,3,2,16,7,31,3,0,6,0,14,1,3,2,8,2,4,4,6,9,4,19,9,15,7,1,1,21,5,1,1,1,1,35,7,1,2,2,26,2,1,20,26,5,5,7,6,3,8,0,1,4,17,155,11,38,2,0,5,3,7,6,2,16,16,7,0,6,10,2,36,4,2,6,4,2,3,3,2,9,4,2,25,11,1,1,1,1,6,4,11,0,3,5,0,2,5,6,5,6,0,0,2,23,32,0,6,12,1,2,5,14,4,14,2,10,3,15,2,2,5,16,3,4,4,7,5,2,6,19,14,3,2,10,7,7,4,18,72,4,2,2,0,6,14,2,1,1,4,5,2,6,8,3,5,12,3,6,0,0,18,0,3,13,9,14,1,7,1,5,2,4,1,3,4,28,0,2,3,9,34,3,14,6,43,6,4,4,1,1,1,8,1,15,9,5,11,24,4,8,3,7,3,14,3,0,5,3,14,1,2,2,3,2,20,1,4,25,2,0,3,23,2,63,3,2,5,4,5,1,15,3,2,2,16,1,3
 07-2014,12,7,5,3,2,5,6,1,20,1,1,12,0,3,5,5,55,8,9,5,1,2,1,1,34,12,4,8,9,4,7,12,2,11,3,4,2,12,0,5,5,18,1,14,1,8,3,1,6,0,3,30,14,5,4,15,3,3,7,8,4,9,2,2,6,39,0,11,7,3,2,1,2,3,2,2,14,7,25,2,0,4,1,18,4,0,4,8,4,4,5,11,6,3,16,9,14,9,4,2,23,2,2,1,2,0,34,12,2,3,1,28,3,6,6,27,3,3,8,5,4,14,1,1,5,23,154,16,34,5,4,7,7,5,4,2,19,24,9,1,12,7,2,38,6,2,2,3,0,0,2,3,4,2,1,12,2,2,1,1,7,11,9,13,1,2,3,0,5,2,6,5,1,0,1,6,26,37,1,15,16,4,2,3,10,3,11,7,11,3,18,1,0,4,17,6,1,0,0,7,5,2,20,9,1,2,9,7,9,3,22,65,6,1,0,1,2,11,4,3,5,3,3,0,5,5,1,7,4,4,9,0,1,27,3,1,25,10,16,3,5,0,4,3,2,0,7,8,42,2,7,2,5,33,3,4,3,51,3,14,2,4,3,1,9,2,9,12,2,13,11,7,6,5,8,2,18,4,2,4,2,24,3,1,1,1,2,13,1,3,30,3,3,2,13,2,54,1,2,2,13,4,3,11,4,1,5,13,2,2
 08-2014,13,9,4,3,5,8,4,8,12,0,1,7,2,6,2,4,39,2,6,1,4,3,7,1,33,3,6,7,5,4,5,5,2,5,1,0,2,14,3,4,5,15,0,21,1,6,4,4,4,3,3,22,10,3,3,12,1,4,6,4,2,14,4,3,9,41,0,18,6,2,0,1,5,5,8,5,10,8,33,1,0,6,0,9,1,1,3,7,0,7,5,7,9,4,14,13,12,7,2,4,23,5,4,4,3,0,32,8,2,2,1,20,3,3,12,26,3,5,9,6,4,8,1,0,8,28,136,16,28,9,7,4,1,1,6,3,15,24,7,0,9,5,1,30,4,0,0,3,1,3,5,2,8,4,1,13,6,3,3,1,4,7,4,10,2,6,8,0,1,4,3,2,2,0,3,5,29,29,2,14,15,4,2,4,11,1,10,4,9,1,14,0,3,4,14,0,3,0,1,8,5,1,21,17,3,3,12,5,9,3,10,54,5,2,0,2,5,15,4,2,5,4,5,1,3,4,2,6,3,6,5,0,1,28,1,4,17,3,16,4,4,4,5,0,2,1,3,6,29,2,4,4,9,29,4,7,3,55,2,9,1,8,2,1,5,0,10,1,5,11,16,5,8,5,3,2,16,9,0,2,0,19,0,4,5,1,3,23,2,4,29,1,2,3,29,4,44,1,2,1,4,6,2,10,3,1,1,15,3,2
 09-2014,8,8,3,4,10,4,2,6,15,3,0,10,4,12,3,6,45,1,8,1,2,2,3,2,30,11,6,8,8,4,6,5,3,1,4,0,4,18,0,8,6,25,1,24,2,11,0,5,3,3,4,32,9,0,2,15,0,2,7,7,1,12,4,3,7,57,2,15,2,1,6,3,1,2,10,1,13,6,22,5,1,5,0,13,1,1,10,6,5,6,7,5,5,10,10,5,12,9,4,6,15,2,1,2,2,1,19,6,0,3,2,29,5,5,11,17,2,8,10,4,2,9,0,1,8,21,145,16,40,4,4,8,3,4,8,2,15,25,4,1,6,5,0,29,5,0,4,3,1,1,2,4,5,6,1,15,12,2,1,0,4,9,11,15,1,4,9,1,1,1,3,5,5,0,4,9,17,29,1,10,15,1,6,6,14,3,10,2,11,1,11,2,5,3,11,4,3,1,1,4,7,4,20,8,3,3,7,5,5,1,13,79,5,2,2,0,7,9,4,2,7,4,0,5,5,7,1,4,7,5,3,1,0,13,3,4,16,3,14,4,2,2,5,1,2,1,2,14,17,1,3,6,9,23,3,7,1,67,2,9,2,7,3,0,14,0,13,11,1,16,20,2,5,4,4,3,19,9,0,6,2,15,3,4,4,2,0,16,1,0,19,1,1,1,18,1,69,1,1,2,12,1,2,5,0,4,6,19,4,7
 10-2014,12,6,2,1,3,8,3,8,19,4,2,7,2,4,5,4,39,3,4,1,3,0,3,1,31,8,1,6,6,2,4,7,1,7,4,2,1,9,1,4,6,14,1,18,3,8,3,5,3,4,2,38,8,1,5,13,1,5,2,2,4,12,3,3,9,45,2,23,3,3,5,2,3,0,5,1,13,3,22,5,0,10,1,16,3,1,1,12,2,5,2,1,0,4,6,5,13,4,1,3,13,3,0,2,3,1,23,5,5,0,2,23,5,3,5,24,6,3,11,3,3,3,0,1,7,31,152,8,28,4,3,7,5,5,6,1,14,15,2,3,3,11,1,31,2,2,1,6,2,4,1,1,3,5,1,19,8,4,3,1,4,5,8,16,3,2,5,0,3,0,3,3,3,0,5,5,23,25,3,4,7,2,6,9,15,3,11,15,5,0,11,2,2,1,10,1,2,2,1,8,2,4,17,9,2,6,11,3,6,1,17,65,1,0,1,1,7,12,4,1,3,3,2,2,2,0,1,5,8,4,4,0,1,24,1,1,15,3,19,3,5,3,5,2,1,0,2,10,38,3,1,4,10,31,0,4,3,55,0,11,2,5,0,1,6,3,15,6,3,3,14,0,9,1,3,2,15,5,0,1,2,17,3,2,2,0,2,16,1,3,16,1,1,2,21,2,60,0,2,1,9,8,2,5,0,1,2,27,2,5
